codigo,nome,quantidade
141094,CHEEZ IT SNACK CHEDDAR CX 65G ,1
141175,FINI AMORAS 15G CX12          ,1
141032,FINI BANANAS 15G CX12 180G    ,1
141196,FINI BANANAS 35G CX10 350G    ,1
141031,FINI BEIJOS 15G CX12          ,0
141195,FINI BEIJOS MORANGO E NATA 35G,0
141037,FINI CHICLE CLASSICOS 14G CX18,0
141038,FINI CHICLE MORANGO 14G CX18 2,0
141039,FINI CHICLE SALADA FRUTAS 14G ,0
141029,FINI DENTADURAS 15G CX12      ,0
141193,FINI DENTADURAS 35G CX10 350G ,0
141188,FINI MARSH CAMPING BAU 200G CX,0
141187,FINI MARSH TORCAO BAUN 200G CX,0
141186,FINI MARSH TORCAO RECH MORANGO,0
141030,FINI MINHOCAS 15G CX12        ,0
141101,FINI PASTILHA HORTELA 14G 40  ,0
141100,FINI PASTILHA MENTA 14G 40    ,0
141102,FINI PASTILHA MORANGO MENTOLAD,0
141025,FINI TUBES IOGURTE 27G (24)   ,0
141028,FINI TUBES MORANGO 15G (12)   ,0
141023,FINI TUBES MORANGO 27G (24)   ,0
141027,FINI TUBES MORANGO CITR 15G (1,0
141026,FINI TUBES MORANGO CITR 27G (2,0
141040,FINI TUBES MORANGO CITR 40G CX,0
141033,FINI TUBES PINTA LINGUA 15G (1,0
141034,FINI TUBES TRES CORES 15G (12),0
141036,FINI TUBES TUTTI FRUTTI 15G (1,0
141024,FINI TUBES TWISTER 27G (24)   ,0
141173,FINI TUBES UVA CITR 15G CX12  ,0
141176,FINI URSINHOS 15G CX12        ,0
141014,FRUITTELLA MASTIG MORANGO VITA,0
141015,FRUITTELLA SWIRL MORANGO VITA ,0
141054,HALLS CEREJA 28G CX21 588G    ,0
141207,"HALLS EXTRA FORTE 27,5G CX21  ",0
141059,HALLS MELANCIA CX21 588G      ,0
141056,HALLS MENTA 28G CX21 588G     ,0
141057,HALLS MORANGO 28G CX21        ,0
141120,MENTOS CLEARBREATH LARANJA MEN,0
142142,MENTOS COOL WH BLUE RASPB 5P C,0
142141,MENTOS COOL WH FRESH MINT 5P C,0
141159,MENTOS FANTA LARANJA STICK 14P,0
141006,MENTOS FRUTAS STICK 14P       ,0
141020,MENTOS FRUTAS VERMELHA STICK C,0
141007,MENTOS MINT STICK             ,0
141019,MENTOS MORANGO IOGURTE STICK  ,0
141012,MENTOS PF FRESH MINT 3 CAMADAS,0
141008,MENTOS PF MINT GARRAFA        ,0
141004,MENTOS PF MINT GOMA STICK     ,0
141010,MENTOS PF MONOPECA SORTIDO    ,0
141202,MENTOS PF MONOPECA SORTIDO 2G ,0
141201,MENTOS PF MONOPECA TUTTI-FRUTT,0
141013,MENTOS PF SPEARMINT 3 CAMADAS ,0
141016,MENTOS PF UP2U GARRAFA        ,0
141009,MENTOS PF WINTERGREEN GARRAFA ,0
141005,MENTOS PF WINTERGREEN GOMA STI,0
141003,MENTOS PURE FRUIT 3 CAMADAS 5P,0
141022,MENTOS PURE WHITE GARRAFA     ,0
141011,MENTOS RAINBOW STICK          ,0
141209,MENTOS STICK MINT C/16UN      ,0
141021,MENTOS STRONG MINT SLAB       ,0
141157,MINI OREO 35G CX10 350G       ,0
141065,OREO ORIGINAL 36G CX8         ,0
141045,PETTIZ AMEND TOR E SALG SPECIA,0
141044,PETTIZ AMENDOIM JAPONES SPECIA,0
141165,PRINGLES BATATA CEBOLA 109Gr  ,0
141164,PRINGLES BATATA CHURRAS 109G  ,0
141213,PRINGLES BATATA LEMON PEPPER 1,0
141166,PRINGLES BATATA ORIGINAL 104G ,0
141214,PRINGLES BATATA ORIGINAL 35G 1,0
141167,PRINGLES BATATA QUEIJO 109GR  ,0
141086,SUCRILHOS CEREAL CHOCO CX 240G,0
141085,SUCRILHOS CEREAL ORIGINAL CX 2,0
141089,SUCRILHOS CEREAL ORIGINAL PC 1,0
142164,SUCRILHOS OVOMALTINE CX 200G 1,0
141046,TRIDENT HORTELA 8G CX21       ,0
141048,TRIDENT MELANCIA 8G CX21      ,0
141047,TRIDENT MENTA 8G CX21         ,0
141049,TRIDENT TUTTI FRUTTI 8G CX21  ,0
